,Open,High,Low,Close,Adj Close,Volume
2022-07-12 16:00:00,19876.32421875,19967.013671875,19876.32421875,19906.177734375,19906.177734375,0.0
2022-07-12 17:00:00,19909.66796875,19909.66796875,19833.62109375,19883.89453125,19883.89453125,0.0
2022-07-12 18:00:00,19879.15625,19879.15625,19734.150390625,19734.150390625,19734.150390625,0.0
2022-07-12 19:00:00,19734.625,19734.625,19384.31640625,19456.8125,19456.8125,1248235520.0
2022-07-12 20:00:00,19452.62109375,19516.828125,19422.927734375,19433.357421875,19433.357421875,540704768.0
2022-07-12 21:00:00,19454.4140625,19500.28515625,19422.66796875,19422.66796875,19422.66796875,12410880.0
2022-07-12 22:00:00,19368.939453125,19455.61328125,19362.796875,19376.8671875,19376.8671875,0.0
2022-07-12 23:00:00,19385.517578125,19434.025390625,19316.208984375,19326.13671875,19326.13671875,0.0
2022-07-13 00:00:00,19325.97265625,19418.43359375,19292.33203125,19418.43359375,19418.43359375,148619264.0
2022-07-13 01:00:00,19418.5390625,19457.53515625,19412.56640625,19432.2421875,19432.2421875,10711040.0
2022-07-13 02:00:00,19435.939453125,19514.521484375,19435.939453125,19514.521484375,19514.521484375,270934016.0
2022-07-13 03:00:00,19512.513671875,19531.939453125,19472.97265625,19476.72265625,19476.72265625,111403008.0
2022-07-13 04:00:00,19473.236328125,19512.70703125,19454.03515625,19483.041015625,19483.041015625,68204544.0
2022-07-13 05:00:00,19478.251953125,19556.240234375,19455.033203125,19523.578125,19523.578125,240007168.0
2022-07-13 06:00:00,19524.775390625,19534.998046875,19482.80078125,19529.69140625,19529.69140625,0.0
2022-07-13 07:00:00,19534.962890625,19725.216796875,19510.384765625,19704.1328125,19704.1328125,46403584.0
2022-07-13 08:00:00,19706.5234375,19866.654296875,19683.791015625,19849.8046875,19849.8046875,563853312.0
2022-07-13 09:00:00,19846.138671875,19873.330078125,19792.919921875,19793.900390625,19793.900390625,0.0
